13,1,13,5,13,5,9,-12,12,-4,0,8,0.974679434,0.974679434,0.974679434
13,1,13,13,13,5,13,-12,12,0,-8,8,0.974679434,0.974679434,0.974679434
9,1,13,5,5,9,7,-8,12,-2,0,4,0.974679434,0.974679434,0.974679434
5,1,13,9,13,9,7,-4,12,2,0,4,0.974679434,0.974679434,0.974679434
13,1,13,5,5,13,9,-12,12,-4,0,8,0.974679434,0.974679434,0.974679434
9,1,13,9,13,13,9,-8,12,0,4,0,0.974679434,0.974679434,0.974679434
5,1,13,13,13,13,9,-4,12,4,0,0,0.974679434,0.974679434,0.974679434
9,5,13,5,9,1,7,-4,8,-2,-4,8,0.974679434,0.974679434,0.974679434
13,5,13,9,9,1,11,-8,8,-2,-8,8,0.974679434,0.974679434,0.974679434
13,5,13,5,13,1,9,-8,8,-4,-4,12,0.974679434,0.974679434,0.974679434
13,5,13,9,13,5,11,-8,8,-2,-4,8,0.974679434,0.974679434,0.974679434
13,5,13,13,13,5,13,-8,8,0,-8,8,0.974679434,0.974679434,0.974679434
9,5,13,9,9,9,9,-4,8,0,0,0,0.974679434,0.974679434,0.974679434
13,5,13,13,13,9,13,-8,8,0,-4,4,0.974679434,0.974679434,0.974679434
5,5,13,5,1,13,5,0,8,0,-4,12,0.974679434,0.974679434,0.974679434
9,5,13,5,9,13,7,-4,8,-2,4,4,0.974679434,0.974679434,0.974679434
13,5,13,9,13,13,11,-8,8,-2,4,0,0.974679434,0.974679434,0.974679434
13,9,13,5,13,1,9,-4,4,-4,-4,12,0.974679434,0.974679434,0.974679434
5,9,13,9,13,5,7,4,4,2,-4,8,0.974679434,0.974679434,0.974679434
9,9,13,9,13,5,9,0,4,0,-4,8,0.974679434,0.974679434,0.974679434
5,9,13,13,13,5,9,4,4,4,-8,8,0.974679434,0.974679434,0.974679434
5,9,13,9,1,9,7,4,4,2,-8,8,0.974679434,0.974679434,0.974679434
9,9,13,9,1,9,9,0,4,0,-8,8,0.974679434,0.974679434,0.974679434
5,9,13,9,1,13,7,4,4,2,-8,12,0.974679434,0.974679434,0.974679434
5,9,13,9,5,13,7,4,4,2,-4,8,0.974679434,0.974679434,0.974679434
13,9,13,9,9,13,11,-4,4,-2,0,4,0.974679434,0.974679434,0.974679434
9,13,13,5,5,1,7,4,0,-2,-4,4,0.974679434,0.974679434,0.974679434
13,13,13,9,9,1,11,0,0,-2,-8,8,0.974679434,0.974679434,0.974679434
5,13,13,9,13,1,7,8,0,2,-8,12,0.974679434,0.974679434,0.974679434
9,13,13,13,13,1,11,4,0,2,-12,12,0.974679434,0.974679434,0.974679434
5,13,13,9,13,5,7,8,0,2,-4,8,0.974679434,0.974679434,0.974679434
5,13,13,13,13,5,9,8,0,4,-8,8,0.974679434,0.974679434,0.974679434
5,13,13,13,13,9,9,8,0,4,-4,4,0.974679434,0.974679434,0.974679434
9,13,13,13,1,13,11,4,0,2,-12,12,0.974679434,0.974679434,0.974679434
9,13,13,13,9,13,11,4,0,2,-4,4,0.974679434,0.974679434,0.974679434
5,1,5,5,9,5,5,-4,4,0,0,4,0.962418828,0.962418828,0.962418828
5,5,5,5,1,5,5,0,0,0,-4,4,0.962418828,0.962418828,0.962418828
5,1,9,5,13,5,5,-4,8,0,0,8,0.962418828,0.962418828,0.962418828
9,5,9,5,9,1,7,-4,4,-2,-4,8,0.962418828,0.962418828,0.962418828
5,5,9,9,9,1,7,0,4,2,-8,8,0.962418828,0.962418828,0.962418828
5,9,9,13,13,1,9,4,0,4,-12,12,0.962418828,0.962418828,0.962418828
9,9,9,9,9,5,9,0,0,0,-4,4,0.962418828,0.962418828,0.962418828
5,9,9,9,13,5,7,4,0,2,-4,8,0.962418828,0.962418828,0.962418828
5,9,9,13,13,9,9,4,0,4,-4,4,0.962418828,0.962418828,0.962418828
5,1,13,5,9,13,5,-4,12,0,4,4,0.962418828,0.962418828,0.962418828
5,5,13,5,1,9,5,0,8,0,-4,8,0.962418828,0.962418828,0.962418828
5,9,13,9,13,1,7,4,4,2,-8,12,0.962418828,0.962418828,0.962418828
5,9,13,5,1,5,5,4,4,0,-4,4,0.962418828,0.962418828,0.962418828
9,9,13,5,1,5,7,0,4,-2,-4,4,0.962418828,0.962418828,0.962418828
9,13,13,5,9,1,7,4,0,-2,-4,8,0.962418828,0.962418828,0.962418828
13,13,13,5,9,1,9,0,0,-4,-4,8,0.962418828,0.962418828,0.962418828
13,13,13,9,5,9,11,0,0,-2,-4,4,0.962418828,0.962418828,0.962418828
5,1,5,5,9,13,5,-4,4,0,4,4,0.961769203,0.961769203,0.961769203
5,5,5,9,13,5,7,0,0,2,-4,8,0.961769203,0.961769203,0.961769203
